ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs
1686994,3756,2015
1691963,3462,1768
1685403,3619,1679
1682878,3576,2105
1682878,3412,2035
1673732,3719,1870
1672150,3656,2013
1671963,3480,2066
1675223,3228,1767
1673267,3385,1960
1667408,3304,1949
1663788,3330,1993
1661100,3576,2255
1658230,3605,1865
1656935,3355,1819
1660266,3368,1965
1654347,3343,2216
1648167,3346,1936
1641635,3348,2183
1635396,3307,2243
1630180,3385,2273
1629357,3334,2026
1633015,3579,1854
1623698,3712,2092
1614964,3597,1925
1608978,3631,2161
1598225,3664,2151
1592462,3619,1940
1590665,3317,2243
1591832,3398,1835
1585818,3594,1994
1579730,3585,2547
1573836,3704,2125
1564222,3744,2524
1562802,3687,2428
1559698,3532,2146
1559169,3965,1878
1553504,3968,2177
1551207,3801,2218
1547855,4475,2154
1549180,4326,2108
1549445,4043,2147
1553683,3703,2242
1563248,3624,1881
1561829,3886,1937
1558992,3958,2181
1559346,3630,2114
1559258,3695,2089
1556955,3469,2297
1561385,3606,2244
1565202,3718,2331
1563248,3293,2446
1562184,3141,2287
1560676,2660,2337
1564047,2509,2229
1567602,2831,1948
1570093,3184,1965
1572409,2648,2203
1571340,3156,2617
1571340,3110,2423
1567602,3284,2190
1567602,3476,2683
1565023,2988,2606
1577495,3314,2756
1601198,3209,3315
1604179,2884,2629
1608431,2627,3047
1608069,3150,2572
1612147,2811,2512
1614419,2887,3216
1621876,3256,3080
1627256,2985,3115
1631368,2705,3195
1635030,3049,3504
1627804,3087,3887
1628900,2915,3502
1645492,3009,2993
1641819,3078,3680
1650471,2350,3844
1654994,2636,3273
1657305,2742,3204
1658600,2815,3237
1655641,2633,3347
1652224,2834,3589
1653238,2648,4425
1661656,1969,3397
1662397,2432,3578
1663232,2574,4479
1661841,2574,4166
1660915,2497,4140
1659803,2493,4059
1668200,2410,3913
1704373.5,2037,4005
1683158,2468,3940
1682311,2796,4076
1698160,2859,3998
1697218,2591,4181
1696467,2554,3985
1702209,2078,3856
1735527,2398,3885
1803991,2271,4190
1812247,2498,5076
1819642,2571,4781
1829535,2285,4334
1844647,2421,4621
1916834,2447,4419
1978743,2587,4236
2026672,2072,4612
2063404,1861,4548
2093391,2383,4683
2119057,2370,5418
2129982,1679,5535
2133633,1588,6204
2139395,1456,6101
2143279,1567,4986
2146390,1634,5460
2150618,1680,5801
2165570,1410,6062
2178574,1452,6242
2188250,1139,5288
2195132,1656,5274
2200105,1732,4941
2204293,1864,4906
2210870,1495,4526
2216891,1469,4982
2221786,1420,4897
2224292,1384,4521
2232282,1696,5339
2245221,1488,4777
2254298,1551,4904
2265941,1435,5311
2276352,1754,5134
2285981,1652,4945
2287260,1541,4604
2285052,1914,4646
2284587,1894,4543
2286911,1619,4971
2291098,1551,5031
2296339,2060,5026
2293776,1332,5738
2291214,1597,5077
2290981,1565,5015
2288771,1823,6073
2282150,1388,6476
2277974,2040,6355
2281105,2030,5881
2272183,2037,6261
2265364,2565,6049
2268368,2506,5809
2264556,2594,6363
2259701,1785,5086
2262248,1811,5712
2269523,1410,5691
2296572,2300,6853
2332200,1334,6008
2362738,2535,6640
2419924,2451,7500
2480021,1882,5870
2510672,1813,6251
2510051,1985,6222
2510175,2621,6878
2510051,2081,6552
2510051,2560,6174
2508558,2231,7318
2519738,2753,7113
2599743,3009,8857
2655602,2478,8537
2678915,2370,9526
2710710,1887,8932
2695432,2986,8289
2699996,1882,8752
2708356,1561,9205
2737232,1561,9019
2743296,1548,8874
2723686,1661,8619
2729730,2027,9066
2723686,2072,8602
2731965,2068,9090
2737890,2056,8485
2751352,2203,8510
2761945,1546,8323
2773628,2044,8029
2787211,2481,7912
2803120,3058,7710
2811302,3048,7242
2822725,2358,6915
2828518,2227,7304
2839726,2113,6514
2844595,3255,7043
2856116,2932,6676
2892381,2910,6655
2903076,3307,7246
2892518,3673,7417
2881167,3426,7326
2885946,3311,8027
2899920,3282,7569
2912698,3089,7846
2926069,2598,7495
2935606,2066,6623
2941422,2230,6559
2942392,3569,7750
2943224,2332,6955
2922066,2183,7711
2896903,3774,7381
2905823,2706,8446
2929384,2928,8208
2955024,3101,7468
2979704,2867,7150
3001153,3656,6917
3025398,3654,7275
3050064,3222,7336
3040407,5159,6089
3045801,4485,6332
3053762,4382,6796
3062164,3580,7160
3064447,5306,7111
3064018,5232,8372
3065730,5679,6781
3065873,5745,6692
3061309,5713,7512
3064018,5741,8448
3060027,5543,6705
3055896,5543,6538
3054900,6293,5830
3054473,5410,6732
3051912,5848,5526
3054894,5487,5498
3060454,5284,6326
3063734,5796,6322
3060170,5611,6388
3061168,5193,6013
3053904,4944,5625
3046796,4585,4974
3044522,5164,4534
3051485,5829,4420
3053762,5609,3951
3014157.5,5819.5,3629
3011971.5,5442.5,3922
3009017.5,5322.5,3472.5
3006708,4244,3074.5
3002568,4397.5,3665
3003859,4596.5,3577.5
3003718,4554,3333.5
3002459,4921.5,3093
2999626,5095.5,3343
2995900,5020.5,3512.5
2986441.5,5870,3120.5
2980142,5782,3581.5
2976727.5,5978.5,3192.5
2968995,5695.5,3118
2960637,5204.5,3080
2951683,5802.5,2907.5
2942134,5675.5,3041
2931940.5,5921.5,2497
2920740.5,5660,2679
2914688,5666,2793.5
2902072,5551.5,2819
2891548,5484.5,2335
2882243.5,5523.5,2569
2870519,6381,2350.5
2858626,5680.5,2271
2848603,5980,2702
2843223,6106,2262
2834673,6154.5,2401.5
2823828.5,6534.5,2324
2812769,6367,2166.5
2799119.5,7016,2059
2786321.5,7212,2605.5
2772827.5,6715,2564.5
2757432.5,6796.5,2474.5
2755048,6902,2412
2749624,7330,2215
2743636,7814.5,2324
2736761,7846,2361.5
2730030,7270.5,2357.5
2720744,7958.5,2275.5
2709862.5,7602,2020.5
2699865,7792.5,2166
2689380,7398.5,2379.5
2677229,8138,2012
2663706,7798.5,1970.5
2647850,7580,2100
2631754,8032,1894.5
2616227,7497,2365
2599508,8248,2013
2584309,8009,2166.5
2570770.5,7870,2377
2557042,6861.5,2220
2542434.5,7389.5,1956.5
2530979.5,7429,2112
2517706.5,7912.5,2176
2503098,7692.5,1977.5
2488492,7409,2097.5
2474368,7333.5,2174
2461075,7216,2150.5
2446931,8485.5,2159.5
2430120.5,8383,2238.5
2415204,8170.5,2476
2397352,8343,2227
2381610.5,8394,2683.5
2364914,8290.5,2560
2349519,7957,2348.5
2333024.5,8702.5,2215
2315428.5,7356.5,2419
2299548,7728,2357
2279937,7565,1887.5
2263491,7440.5,2276.5
2245858.5,7386.5,2348.5
2228506,6491.5,2093.5
2212651,8107.5,2349
2195767.5,8067.5,2118.5
2179914,7636,2276
2165549,7622,2185
2151086,7245,2129.5
2133481.5,7349.5,1951.5
2115603,7368.5,2139.5
2101325.5,7665,2293
2084401.5,7124,2156.5
2069145,7457,2136.5
2052137,7412.5,2164
2037476.5,7028,2135.5
2023692.5,7122.5,1936
2009386,6997,1843
1994892,7165.5,1880
1980947,6986.5,2139
1968536,6734.5,2189.5
1958631,7052.5,2093
1947358.5,6979.5,2119.5
1936083.5,6725.5,2247.5
1924295.5,6686.5,2312.5
1912450,6916.5,2245.5
1900311,6466.5,2255.5
1890409.5,6433,2272
1880605,6946,2096.5
1870832.5,6364,1892.5
1862764,5596.5,2272.5
1854119.5,5494,2001
1843541,4659.5,2204
1833352,5399,1872
1822461,6313,1996
1814149.5,5912,2034.5
1805264,5893.5,1843
1796071.5,6249.5,2103
1789011,4373.5,1782.5
1783282.5,4597,2117
1776635,5080.5,1895
1773187.5,4984,2008.5
1766254,4132,1814.5
1759046.5,4780,2034
1751748.5,4730.5,1797.5
1744890.5,4976,2330
1740729,3783.5,1946.5
1735089,4137,2036.5
1732913.5,4060,2178
1730022.5,3766,2037.5
1726094,3851,1903.5
1721627,4041.5,2093.5
1719165.5,4094,1996
1715006.5,3988.5,1945
1711270.5,3847,1941.5
1709550,3914.5,1917
1706400,3747,1980.5
1703716,3573.5,2082.5
1699726,3953.5,1726.5
1695923,4011,1839
1695923,4011,1839